ManufacturerName,CustomerName,Customer,City,State,Stockcode,ItemFamily,Amount,PYTD Sales,YTD Growth,% Change,TransferOrNot
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - FOXBORO - 2126102,FOXBORO,MA,313-210NL                ,420 - Water Service Fittings        ,$104,$0,$104,,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - NORWOOD - 11341,NORWOOD,MA,313-210NL                ,420 - Water Service Fittings        ,$0,$84,($84),-100.0%,Direct
Legend,THE PORTLAND GROUP,THE PORTLAND GROUP - AD#PG02 - NORTH BILLERICA - 11320,NORTH BILLERICA,MA,313-210NL                ,420 - Water Service Fittings        ,$0,$100,($100),-100.0%,Direct
Legend,WINNELSON,WINSUPPLY PORTLAND ME CO (#040) - SOUTH PORTLAND - 180358,SOUTH PORTLAND,ME,313-210NL                ,420 - Water Service Fittings        ,$104,$84,$20,24.2%,Direct
Legend,"WIT-WAY SUPPLY, INC","WIT-WAY SUPPLY, INC. - ROCHESTER - 176976",ROCHESTER,NH,313-210NL                ,420 - Water Service Fittings        ,$0,$33,($33),-100.0%,Direct
Legend,PLIMPTON & HILLS,PLIMPTON & HILLS CORP -AD#PH46 - MANCHESTER - 178293,MANCHESTER,CT,313-214NL                ,420 - Water Service Fittings        ,$221,$178,$43,24.2%,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - NORWOOD - 11341,NORWOOD,MA,313-214NL                ,420 - Water Service Fittings        ,$0,$36,($36),-100.0%,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - TWIN MOUNTAIN - 179862,TWIN MOUNTAIN,RI,313-214NL                ,420 - Water Service Fittings        ,$44,$107,($63),-58.6%,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP- ADGG04 - LONDONDERRY - 179844,LONDONDERRY,NH,313-214NL                ,420 - Water Service Fittings        ,$0,$356,($356),-100.0%,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP-DBA/SALEM PLBG -ADGG04 - BEVERLY - 189469,BEVERLY,MA,313-214NL                ,420 - Water Service Fittings        ,$44,$0,$44,,Direct
Legend,WINNELSON,WINSUPPLY STAMFORD CT CO (#015) - STAMFORD - 12380,STAMFORD,CT,313-214NL                ,420 - Water Service Fittings        ,$221,$0,$221,,Direct
Legend,"WIT-WAY SUPPLY, INC","WIT-WAY SUPPLY, INC. - ROCHESTER - 176976",ROCHESTER,NH,313-214NL                ,420 - Water Service Fittings        ,$0,$36,($36),-100.0%,Direct
Legend,PARK CITY VALVE & FITTING,PARK CITY VALVE & FITTING - BRIDGEPORT - 180459,BRIDGEPORT,CT,313-215NL                ,420 - Water Service Fittings        ,$0,$45,($45),-100.0%,Direct
Legend,PLIMPTON & HILLS,PLIMPTON & HILLS CORP -AD#PH46 - MANCHESTER - 178293,MANCHESTER,CT,313-215NL                ,420 - Water Service Fittings        ,$0,$271,($271),-100.0%,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - FOXBORO - 2126102,FOXBORO,MA,313-215NL                ,420 - Water Service Fittings        ,$280,$0,$280,,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - GREENVILLE - 11383,GREENVILLE,RI,313-215NL                ,420 - Water Service Fittings        ,$0,$45,($45),-100.0%,Direct
Legend,SMITHFIELD PLUMBING & HEATING,SMITHFIELD PLUMBING & HEATING #104860 - TWIN MOUNTAIN - 179862,TWIN MOUNTAIN,RI,313-215NL                ,420 - Water Service Fittings        ,$28,$45,($17),-37.9%,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP- ADGG04 - LONDONDERRY - 179844,LONDONDERRY,NH,313-215NL                ,420 - Water Service Fittings        ,$0,$135,($135),-100.0%,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP-DBA/SALEM PLBG -ADGG04 - BEVERLY - 189469,BEVERLY,MA,313-215NL                ,420 - Water Service Fittings        ,$56,$0,$56,,Direct
Legend,WINNELSON,WINSUPPLY MANCHESTER CT CO (#071) - MANCHESTER - 10933,MANCHESTER,CT,313-215NL                ,420 - Water Service Fittings        ,$28,$23,$5,24.2%,Direct
Legend,PLIMPTON & HILLS,PLIMPTON & HILLS CORP -AD#PH46 - MANCHESTER - 178293,MANCHESTER,CT,313-216NL                ,420 - Water Service Fittings        ,$0,$464,($464),-100.0%,Direct
Legend,TORRCO,TORRCO - AD#TS28 - WATERBURY - 11523,WATERBURY,CT,313-217NL                ,420 - Water Service Fittings        ,$597,$0,$597,,Direct
Legend,REPUBLIC PLUMBING SUPPLY,REPUBLIC PLUMBING SUPPLY #109250 - FOXBORO - 2126102,FOXBORO,MA,313-220NL                ,420 - Water Service Fittings        ,$32,$0,$32,,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP- ADGG04 - LONDONDERRY - 179844,LONDONDERRY,NH,313-235NL                ,420 - Water Service Fittings        ,$0,$68,($68),-100.0%,Direct
Legend,PARK CITY VALVE & FITTING,PARK CITY VALVE & FITTING - BRIDGEPORT - 180459,BRIDGEPORT,CT,313-275NL                ,420 - Water Service Fittings        ,$0,$37,($37),-100.0%,Direct
Legend,THE GRANITE GROUP,THE GRANITE GROUP- ADGG04 - LONDONDERRY - 179844,LONDONDERRY,NH,313-275NL                ,420 - Water Service Fittings        ,$70,$37,$32,86.3%,Direct
Legend,WINNELSON,WINSUPPLY STAMFORD CT CO (#015) - STAMFORD - 12380,STAMFORD,CT,313-275NL                ,420 - Water Service Fittings        ,$116,$0,$116,,Direct
Legend,PARK CITY VALVE & FITTING,PARK CITY VALVE & FITTING - BRIDGEPORT - 180459,BRIDGEPORT,CT,313-276NL                ,420 - Water Service Fittings        ,$0,$69,($69),-100.0%,Direct
Legend,PARK CITY VALVE & FITTING,PARK CITY VALVE & FITTING - BRIDGEPORT - 180459,BRIDGEPORT,CT,313-277NL                ,420 - Water Service Fittings        ,$0,$146,($146),-100.0%,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - EAST PROVIDENCE - 11021,EAST PROVIDENCE,RI,313-304NL                ,420 - Water Service Fittings        ,$47,$0,$47,,Direct
Legend,SUPPLY NEW ENGLAND,SUPPLY NEW ENGLAND #10 - AD#SN03 - UXBRIDGE - 15115,UXBRIDGE,MA,313-304NL                ,420 - Water Service Fittings        ,$94,$0,$94,,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - EAST PROVIDENCE - 11021,EAST PROVIDENCE,RI,313-305NL                ,420 - Water Service Fittings        ,$285,$0,$285,,Direct
Legend,M & G SUPPLY,M & G SUPPLY #246600 - WARREN - 164436,WARREN,RI,313-305NL                ,420 - Water Service Fittings        ,$0,$57,($57),-100.0%,Direct
